id,subject,number,answer,student_id
958,자료,23,2,8
959,자료,24,3,8
960,자료,25,5,8
961,자료,26,1,8
962,자료,27,5,8
963,자료,28,3,8
964,자료,29,2,8
965,자료,30,4,8
966,자료,31,2,8
967,자료,32,4,8
968,자료,33,2,8
969,자료,34,4,8
970,자료,35,5,8
971,자료,36,2,8
972,자료,37,2,8
973,자료,38,5,8
974,자료,39,4,8
975,자료,40,3,8
976,상황,1,4,8
977,상황,2,4,8
978,상황,3,1,8
979,상황,4,5,8
980,상황,5,2,8
981,상황,6,3,8
982,상황,7,5,8
983,상황,8,4,8
984,상황,9,3,8
985,상황,10,2,8
986,상황,11,5,8
987,상황,12,3,8
988,상황,13,3,8
989,상황,14,1,8
990,상황,15,3,8
991,상황,16,4,8
992,상황,17,4,8
993,상황,18,4,8
994,상황,19,2,8
995,상황,20,3,8
996,상황,21,4,8
997,상황,22,4,8
998,상황,23,2,8
999,상황,24,2,8
1000,상황,25,5,8
1001,상황,26,1,8
1002,상황,27,5,8
1003,상황,28,2,8
1004,상황,29,2,8
1005,상황,30,5,8
1006,상황,31,5,8
1007,상황,32,4,8
1008,상황,33,1,8
1009,상황,34,3,8
1010,상황,35,3,8
1011,상황,36,2,8
1012,상황,37,5,8
1013,상황,38,4,8
1014,상황,39,1,8
1015,상황,40,4,8
1016,헌법,1,3,9
1017,헌법,2,2,9
1018,헌법,3,3,9
1019,헌법,4,3,9
1020,헌법,5,1,9
1021,헌법,6,3,9
1022,헌법,7,1,9
1023,헌법,8,2,9
1024,헌법,9,1,9
1025,헌법,10,2,9
1026,헌법,11,3,9
1027,헌법,12,3,9
1028,헌법,13,4,9
1029,헌법,14,2,9
1030,헌법,15,2,9
1031,헌법,16,2,9
1032,헌법,17,3,9
1033,헌법,18,4,9
1034,헌법,19,3,9
1035,헌법,20,4,9
1036,헌법,21,3,9
1037,헌법,22,1,9
1038,헌법,23,2,9
1039,헌법,24,4,9
1040,헌법,25,1,9
1041,언어,1,2,9
1042,언어,2,5,9
1043,언어,3,5,9
1044,언어,4,2,9
1045,언어,5,5,9
1046,언어,6,2,9
1047,언어,7,5,9
1048,언어,8,2,9
1049,언어,9,2,9
1050,언어,10,4,9
1051,언어,11,4,9
1052,언어,12,3,9
1053,언어,13,4,9
1054,언어,14,3,9
1055,언어,15,3,9
1056,언어,16,3,9
1057,언어,17,1,9
1058,언어,18,5,9
